Data;Estagio;Precipitacao;ET0;KC;CAD_Max;FatorF_Estresse;CAD_Estresse;FatorF_Otimizado;CAD_Otimizado
44196;Crescimento;27.40;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44197;Crescimento;0.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44198;Crescimento;7.20;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44199;Crescimento;6.40;4.10;0.80;50.00;0.50;25.00;0.40;30.00
44200;Crescimento;0.00;4.10;0.80;50.00;0.50;25.00;0.40;30.00
44201;Crescimento;0.00;4.60;0.80;50.00;0.50;25.00;0.40;30.00
44202;Crescimento;0.00;3.90;0.80;50.00;0.50;25.00;0.40;30.00
44203;Crescimento;2.00;3.80;0.80;50.00;0.50;25.00;0.40;30.00
44204;Crescimento;11.40;3.80;0.80;50.00;0.50;25.00;0.40;30.00
44205;Crescimento;0.00;4.10;0.80;50.00;0.50;25.00;0.40;30.00
44206;Crescimento;6.20;5.10;0.80;50.00;0.50;25.00;0.40;30.00
44207;Crescimento;0.40;1.80;0.80;50.00;0.50;25.00;0.40;30.00
44208;Crescimento;0.20;3.70;0.80;50.00;0.50;25.00;0.40;30.00
44209;Crescimento;3.20;3.00;0.80;50.00;0.50;25.00;0.40;30.00
44210;Crescimento;15.20;4.50;0.80;50.00;0.50;25.00;0.40;30.00
44211;Crescimento;3.00;1.70;0.80;50.00;0.50;25.00;0.40;30.00
44212;Crescimento;1.00;2.60;0.80;50.00;0.50;25.00;0.40;30.00
44213;Crescimento;3.80;3.50;0.80;50.00;0.50;25.00;0.40;30.00
44214;Crescimento;19.20;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44215;Crescimento;21.20;4.10;0.80;50.00;0.50;25.00;0.40;30.00
44216;Crescimento;0.00;4.40;0.80;50.00;0.50;25.00;0.40;30.00
44217;Crescimento;0.00;5.00;0.80;50.00;0.50;25.00;0.40;30.00
44218;Crescimento;0.00;5.00;0.80;50.00;0.50;25.00;0.40;30.00
44219;Crescimento;0.00;4.50;0.80;50.00;0.50;25.00;0.40;30.00
44220;Crescimento;0.00;4.60;0.80;50.00;0.50;25.00;0.40;30.00
44221;Crescimento;0.00;4.50;0.80;50.00;0.50;25.00;0.40;30.00
44222;Crescimento;0.00;4.30;0.80;50.00;0.50;25.00;0.40;30.00
44223;Crescimento;0.00;4.50;0.80;50.00;0.50;25.00;0.40;30.00
44224;Crescimento;0.00;4.40;0.80;50.00;0.50;25.00;0.40;30.00
44225;Crescimento;0.00;3.80;0.80;50.00;0.50;25.00;0.40;30.00
44226;Crescimento;0.00;4.00;0.80;50.00;0.50;25.00;0.40;30.00
44227;Crescimento;7.60;5.00;0.80;50.00;0.50;25.00;0.40;30.00
44228;Crescimento;29.20;3.60;0.80;50.00;0.50;25.00;0.40;30.00
44229;Crescimento;3.60;2.80;0.80;50.00;0.50;25.00;0.40;30.00
44230;Crescimento;34.20;3.70;0.80;50.00;0.50;25.00;0.40;30.00
44231;Crescimento;18.00;3.50;0.80;50.00;0.50;25.00;0.40;30.00
44232;Crescimento;16.00;2.30;0.80;50.00;0.50;25.00;0.40;30.00
44233;Crescimento;3.40;2.10;0.80;50.00;0.50;25.00;0.40;30.00
44234;Crescimento;0.00;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44235;Crescimento;7.80;4.00;0.80;50.00;0.50;25.00;0.40;30.00
44236;Crescimento;0.20;2.40;0.80;50.00;0.50;25.00;0.40;30.00
44237;Crescimento;0.60;4.30;0.80;50.00;0.50;25.00;0.40;30.00
44238;Crescimento;13.00;4.10;0.80;50.00;0.50;25.00;0.40;30.00
44239;Crescimento;3.60;1.60;0.80;50.00;0.50;25.00;0.40;30.00
44240;Crescimento;3.20;1.30;0.80;50.00;0.50;25.00;0.40;30.00
44241;Crescimento;0.00;2.30;0.80;50.00;0.50;25.00;0.40;30.00
44242;Crescimento;5.60;3.70;0.80;50.00;0.50;25.00;0.40;30.00
44243;Crescimento;0.00;2.90;0.80;50.00;0.50;25.00;0.40;30.00
44244;Crescimento;3.40;4.00;0.80;50.00;0.50;25.00;0.40;30.00
44245;Crescimento;0.00;3.00;0.80;50.00;0.50;25.00;0.40;30.00
44246;Crescimento;4.60;4.00;0.80;50.00;0.50;25.00;0.40;30.00
44247;Crescimento;0.00;4.40;0.80;50.00;0.50;25.00;0.40;30.00
44248;Crescimento;0.00;5.00;0.80;50.00;0.50;25.00;0.40;30.00
44249;Crescimento;5.60;3.90;0.80;50.00;0.50;25.00;0.40;30.00
44250;Crescimento;1.00;3.20;0.80;50.00;0.50;25.00;0.40;30.00
44251;Crescimento;6.20;3.60;0.80;50.00;0.50;25.00;0.40;30.00
44252;Crescimento;12.60;3.90;0.80;50.00;0.50;25.00;0.40;30.00
44253;Crescimento;15.20;2.70;0.80;50.00;0.50;25.00;0.40;30.00
44254;Crescimento;6.60;1.40;0.80;50.00;0.50;25.00;0.40;30.00
44255;Crescimento;5.20;2.20;0.80;50.00;0.50;25.00;0.40;30.00
44256;Crescimento;0.00;3.00;0.80;50.00;0.50;25.00;0.40;30.00
44257;Crescimento;0.00;4.00;0.80;50.00;0.50;25.00;0.40;30.00
44258;Crescimento;0.00;3.70;0.80;50.00;0.50;25.00;0.40;30.00
44259;Crescimento;7.40;3.70;0.80;50.00;0.50;25.00;0.40;30.00
44260;Crescimento;10.80;3.80;0.80;50.00;0.50;25.00;0.40;30.00
44261;Crescimento;29.40;2.30;0.80;50.00;0.50;25.00;0.40;30.00
44262;Crescimento;13.40;1.60;0.80;50.00;0.50;25.00;0.40;30.00
44263;Crescimento;4.60;1.40;0.80;50.00;0.50;25.00;0.40;30.00
44264;Crescimento;0.00;2.30;0.80;50.00;0.50;25.00;0.40;30.00
44265;Crescimento;27.20;3.90;0.80;50.00;0.50;25.00;0.40;30.00
44266;Crescimento;0.00;3.80;0.80;50.00;0.50;25.00;0.40;30.00
44267;Crescimento;0.00;3.60;0.80;50.00;0.50;25.00;0.40;30.00
44268;Crescimento;30.80;4.30;0.80;50.00;0.50;25.00;0.40;30.00
44269;Crescimento;0.60;3.70;0.80;50.00;0.50;25.00;0.40;30.00
44270;Crescimento;0.20;2.10;0.80;50.00;0.50;25.00;0.40;30.00
44271;Crescimento;2.00;3.20;0.80;50.00;0.50;25.00;0.40;30.00
44272;Crescimento;0.60;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44273;Crescimento;0.00;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44274;Crescimento;0.00;3.10;0.80;50.00;0.50;25.00;0.40;30.00
44275;Crescimento;0.00;3.40;0.80;50.00;0.50;25.00;0.40;30.00
44276;Crescimento;0.00;4.20;0.80;50.00;0.50;25.00;0.40;30.00
44277;Crescimento;0.00;4.30;0.80;50.00;0.50;25.00;0.40;30.00
44278;Crescimento;0.00;4.10;0.80;50.00;0.50;25.00;0.40;30.00
44279;Crescimento;0.00;4.00;0.80;50.00;0.50;25.00;0.40;30.00
